C:\Users\hadis\Desktop\Git\big-data-analytics>docker-compose -f all-at-once.yaml up
[+] Building 0.0s (0/0)                                                                                  docker:default
[+] Running 3/3
 ✔ Container big-data-analytics-clone-detector-1  Created                                                          0.0s
 ✔ Container big-data-analytics-dbstorage-1       Created                                                          0.0s
 ✔ Container big-data-analytics-monitortool-1     Recreated                                                        0.4s
Attaching to big-data-analytics-clone-detector-1, big-data-analytics-dbstorage-1, big-data-analytics-monitortool-1
big-data-analytics-monitortool-1     | Starting...
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 1100, Chunks: 0, Candidates: 0, Clones: 0
big-data-analytics-monitortool-1     | Latest Status Update: Storing files... at 2023-12-30T16:15:43.608964712
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-clone-detector-1  | WARNING: random-uuid already refers to: #'clojure.core/random-uuid in namespace: monger.util, being replaced by: #'monger.util/random-uuid
big-data-analytics-clone-detector-1  | 2023-12-30T16:16:19.379026882 Clearing database...
big-data-analytics-clone-detector-1  | 2023-12-30T16:16:20.416975348 Reading and Processing files...
big-data-analytics-clone-detector-1  | 2023-12-30T16:16:20.425775364 Storing files...
big-data-analytics-clone-detector-1  | 2023-12-30T16:16:43.795616190 Storing chunks of size20...
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 415500, Candidates: 0, Clones: 0
big-data-analytics-monitortool-1     | Latest Status Update: Storing chunks of size20... at 2023-12-30T16:16:43.795616190
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 1181500, Candidates: 0, Clones: 0
big-data-analytics-monitortool-1     | Latest Status Update: Storing chunks of size20... at 2023-12-30T16:16:43.795616190
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 1634000, Candidates: 0, Clones: 0
big-data-analytics-monitortool-1     | Latest Status Update: Storing chunks of size20... at 2023-12-30T16:16:43.795616190
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
