Apparently, Command Prompt limits the amount of text saved, so it has cut off anything before this.
However, I did follow it and used insight from it in my analysis report.



big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 184065, Clones: 5388
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 183242, Clones: 5407
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 182604, Clones: 5433
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 181880, Clones: 5456
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 181241, Clones: 5481
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 180444, Clones: 5504
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 179776, Clones: 5529
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 179121, Clones: 5554
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 178604, Clones: 5581
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 177975, Clones: 5608
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 177296, Clones: 5633
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 176675, Clones: 5658
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 175854, Clones: 5681
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 175193, Clones: 5707
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 174483, Clones: 5732
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 173939, Clones: 5759
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 173222, Clones: 5785
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 172711, Clones: 5811
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 172034, Clones: 5837
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 171285, Clones: 5859
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 170925, Clones: 5888
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 170299, Clones: 5914
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 169601, Clones: 5938
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 168984, Clones: 5964
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 168424, Clones: 5990
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 167878, Clones: 6019
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 167162, Clones: 6043
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 166433, Clones: 6070
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 165731, Clones: 6096
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 165064, Clones: 6122
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 164339, Clones: 6148
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 163627, Clones: 6176
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 163093, Clones: 6205
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 162451, Clones: 6232
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | Fetching new data...
big-data-analytics-monitortool-1     | Files: 125200, Chunks: 18211863, Candidates: 161755, Clones: 6260
big-data-analytics-monitortool-1     | Latest Status Update: Expanding Candidates... at 2024-01-01T12:19:02.546810
big-data-analytics-monitortool-1     |
big-data-analytics-monitortool-1     | --- Done ---
big-data-analytics-monitortool-1     |
